epochs,loss, accuracy,val_loss,val_accuracy
1, 2.6488 ,  0.2278 ,  2.2372 ,  0.3056
2, 2.2197 ,  0.3198 ,  2.0761 ,  0.3497
3, 2.0931 ,  0.3508 ,  2.0110 ,  0.3696
4, 2.0205 ,  0.3668 ,  1.9667 ,  0.3816
5, 1.9788 ,  0.3779 ,  1.9471 ,  0.3875
6, 1.9450 ,  0.3867 ,  1.9250 ,  0.3941
7, 1.9177 ,  0.3939 ,  1.9119 ,  0.3965
8, 1.9062 ,  0.3996 ,  1.9052 ,  0.3985
9, 1.8856 ,  0.4052 ,  1.8977 ,  0.3993
10, 1.8725 ,  0.4067 ,  1.8903 ,  0.3978
11, 1.8050 ,  0.4253 ,  1.8218 ,  0.4124
12, 1.7050 ,  0.4524 ,  1.7443 ,  0.4409
13, 1.6406 ,  0.4689 ,  1.7068 ,  0.4513
14, 1.5941 ,  0.4847 ,  1.6510 ,  0.4649
15, 1.5486 ,  0.4992 ,  1.6466 ,  0.4624
16, 1.5096 ,  0.5086 ,  1.6217 ,  0.4684
17, 1.4768 ,  0.5199 ,  1.6245 ,  0.4746
18, 1.4465 ,  0.5260 ,  1.6419 ,  0.4640
19, 1.4219 ,  0.5336 ,  1.6025 ,  0.4806
20, 1.3941 ,  0.5410 ,  1.6240 ,  0.4705
31, 1.3685 ,  0.5501 ,  1.6060 ,  0.4718
32,0,0,1.6231 ,  0.4736
Test   0.47356855869293213
